#options: 1920x1118 fps=15/1 timebase=1/15 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:104 out:101 type:P dur:2 cpbdur:2 q:26.70 aq:17.48 tex:545 mv:123 misc:668 imb:1 pmb:37 smb:8362 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:26.50 aq:18.16 tex:49 mv:11 misc:468 imb:0 pmb:5 smb:8395 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:26.39 aq:19.55 tex:18 mv:4 misc:418 imb:0 pmb:1 smb:8399 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:26.60 aq:18.00 tex:0 mv:0 misc:408 imb:0 pmb:0 smb:8400 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:27.80 aq:22.77 tex:838 mv:93 misc:541 imb:1 pmb:13 smb:8386 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:27.25 aq:18.00 tex:28 mv:28 misc:464 imb:0 pmb:7 smb:8393 d:s ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:26.98 aq:19.00 tex:9 mv:4 misc:411 imb:0 pmb:1 smb:8399 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:27.53 aq:19.00 tex:5 mv:17 misc:410 imb:0 pmb:4 smb:8396 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:26.03 aq:21.10 tex:4066 mv:429 misc:729 imb:31 pmb:37 smb:8332 d:s ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:26.91 aq:23.25 tex:1474 mv:179 misc:523 imb:4 pmb:27 smb:8369 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:27.36 aq:22.20 tex:1643 mv:254 misc:487 imb:15 pmb:35 smb:8350 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:26.47 aq:19.96 tex:1401 mv:91 misc:468 imb:6 pmb:9 smb:8385 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:25.62 aq:12.27 tex:2781 mv:262 misc:693 imb:32 pmb:20 smb:8348 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:25.82 aq:20.81 tex:2398 mv:180 misc:566 imb:8 pmb:31 smb:8361 d:s ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:25.92 aq:17.42 tex:1106 mv:92 misc:522 imb:1 pmb:27 smb:8372 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:25.72 aq:22.20 tex:1006 mv:88 misc:530 imb:0 pmb:28 smb:8372 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:25.07 aq:13.83 tex:1958 mv:216 misc:626 imb:13 pmb:21 smb:8366 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:25.34 aq:19.46 tex:4014 mv:255 misc:547 imb:17 pmb:29 smb:8354 d:s ref:0 ;
